id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
269339,Sweet Apartment in Alberta St. Area,960864,Naomi,,King,45.55035,-122.65664,Entire home/apt,90,2,354,2019-12-11,3.62,2,175
272827,Moroccan-Inspired SW Portland Home,1427852,Rachel,,Ashcreek,45.45264,-122.73628,Private room,75,30,59,2019-08-25,1.38,1,356
284106,Craftsman BrightFreshCentral 2 Bed/Bath Flat,1478274,David,,Brooklyn Action Corps,45.49095,-122.64037,Entire home/apt,199,30,91,2019-12-09,0.95,1,306
293584,Venue/Event Space : UNION/PINE,1511460,Summer + Patrick,,Buckman,45.52046,-122.66132,Entire home/apt,1950,1,12,2012-10-24,0.12,1,358
295694,Rustic Tiny Home w Sleeping Loft in hip Woodlawn,507756,Andrée,,Woodlawn,45.57237,-122.65012,Entire home/apt,70,1,465,2019-12-15,5.26,4,82
296946,Opal 28 an Intimate Event Space in NE PDX,6313800,Margot,,Kerns,45.52795,-122.63692,Entire home/apt,675,1,1,2014-01-29,0.01,8,365
317797,Condo in the Courtyard,828435,Furnished In Portland,,Mt. Tabor,45.51284,-122.61134,Entire home/apt,95,30,31,2019-10-07,0.33,8,60
332420,Classic SE Portland: Walkable to Everything!,1206902,LeBrie,,Sunnyside,45.5176,-122.63055,Entire home/apt,175,4,31,2019-10-30,0.37,1,0
332585,Mt. Tabor Eco Friendly Flat,1488233,Dina,,Mt. Tabor,45.51458,-122.60959,Entire home/apt,65,2,324,2019-11-30,3.39,1,347
345650,GUEST HOUSE SURROUNDED BY NATURE,38860,Renata,,Hayhurst,45.4802,-122.71844,Entire home/apt,80,2,99,2019-08-23,1.09,1,268
357732,"Cheerful, musical, eclectic home",1810476,Susan,,Multnomah,45.46604,-122.71599,Private room,40,30,25,2019-12-01,0.27,2,325
362775,Japanese cabin + in fine-dining village,1213257,Dayna,,Concordia,45.56274,-122.63444,Entire home/apt,105,2,183,2019-12-27,1.94,2,337
379104,Private top floor near Alberta,491587,Jeanne,,Concordia,45.56549,-122.63925,Private room,65,2,25,2019-11-10,0.27,2,363
383701,Sellwood Music Suite,1405118,Dave & Silke,,Sellwood-Moreland Improvement League,45.46866,-122.65449,Entire home/apt,80,2,257,2019-12-30,2.73,1,271
386687,The Heart of Multnomah Village,532509,Maria & Kenyon,,Multnomah,45.47013,-122.71409,Entire home/apt,120,2,205,2019-12-20,2.21,1,0
399890,S.W. Portland Farmhouse Cottage,1996078,Sally K,,Marshall Park,45.45704,-122.69185,Entire home/apt,165,3,80,2019-08-12,0.99,3,240
402130,"Newly Renovated & Cozy, Opal 28 Queen Suite #1",6313800,Margot,,Kerns,45.52968,-122.63429,Entire home/apt,155,1,136,2019-12-13,1.47,8,151
402191,"Vintage Meets Modern, Opal 28 King Suite #4",6313800,Margot,,Kerns,45.52502,-122.63497,Entire home/apt,115,1,188,2019-12-15,2.01,8,166
408577,Eclectic cottage & bath house/SE Portland,2034859,Ruby,,Richmond,45.50775,-122.61763,Entire home/apt,75,2,53,2019-10-01,0.56,2,121
413956,"Beautiful, Clean 1920 NoPo Bungalow",1099616,Abraham,,Arbor Lodge,45.56699,-122.67936,Entire home/apt,125,3,203,2019-12-01,2.24,2,85
448195,Quality Comfort Beautiful 1915 Craftsman,2226037,Bruce,,Rose City Park,45.54767,-122.61339,Entire home/apt,240,3,187,2019-12-27,2.00,1,316
449461,"Portland Soul, Central! Porch Time!",975606,Leo,,Rose City Park,45.54386,-122.60396,Private room,39,30,35,2018-06-01,0.39,2,364
450488,Alberta Arts Room Overlooking Verdant Backyard,2236909,Shane,,King,45.56024,-122.65851,Private room,35,30,97,2019-08-06,1.05,5,333
450660,Perfectly Cozy Alberta Arts Room,2236909,Shane,,King,45.56174,-122.65817,Private room,38,30,89,2019-09-30,1.00,5,363
457627,concordia/alberta sunshine cabin,2274595,Rachel And Joe,,Concordia,45.56244,-122.63756,Entire home/apt,105,2,292,2019-12-06,3.19,1,297
483487,Sellwood-Near Parks and the River,434208,Jim,,Sellwood-Moreland Improvement League,45.46773,-122.65513,Private room,22,30,263,2019-12-16,2.84,1,194
483614,Cully Carriage House- NE Portland,1387456,Dana,,Cully,45.5589,-122.61832,Entire home/apt,125,2,193,2019-12-01,2.10,1,267
496270,Great Location! Great for Kids!,2451547,"Dave, And Caleb",,Concordia,45.56497,-122.63118,Private room,89,1,51,2019-08-03,0.56,1,365
522334,A sunny separate studio w/skylights,19234,Scott,,Sellwood-Moreland Improvement League,45.474,-122.64379,Entire home/apt,85,3,364,2019-12-17,4.01,1,302
525395,Fantastic Bungalow with Hot Tub close to Downtown,2555917,Thomas,,South Portland,45.47161,-122.67427,Entire home/apt,299,3,12,2019-08-25,0.15,1,0
531553,"Farm in the City, Mississippi dist.",1601890,Janie And Ginnie,,Boise,45.55327,-122.66941,Entire home/apt,85,2,284,2019-12-26,3.13,1,355
531586,Mt Tabor Long term ONLY,546232,Jan,,Mt. Tabor,45.51807,-122.59494,Entire home/apt,299,14,0,,,1,364
539224,Skylight Delight,828435,Furnished In Portland,,Mt. Tabor,45.51327,-122.61123,Private room,40,30,20,2019-03-11,0.35,8,0
543988,Quaint English Cottage Garden Apt.,40759,Sue And Bob,,Laurelhurst,45.52322,-122.61775,Entire home/apt,95,2,231,2019-11-25,2.53,2,345
546107,"Hip, Tiny House in North Portland",307635,Andrew,,Humboldt,45.55837,-122.67024,Entire home/apt,68,31,340,2018-04-02,3.72,2,36
546694,Private suite - historic NE cottage,2688278,Rachel,,Concordia,45.56857,-122.6295,Private room,39,2,197,2019-10-01,5.63,1,131
548557,NE  Concordia Cabin,2696498,Matt,,Concordia,45.56986,-122.63178,Entire home/apt,98,2,113,2019-09-03,1.25,1,362
553671,Lovely Bugalow Close to Everything,2720698,Caroline,,Piedmont,45.57847,-122.67087,Entire home/apt,120,2,19,2015-11-29,0.21,1,335
557802,Lovely Studio in the Heart of NW/Pearl,2742604,Brad,,Northwest District,45.52486,-122.69103,Entire home/apt,100,30,600,2019-11-27,6.58,1,7
557948,"Pretty house, perfect location, EV-friendly",2690880,Randy,,Hosford-Abernethy,45.50895,-122.64438,Entire home/apt,389,2,14,2019-08-03,0.21,2,88
569209,Mt Tabor Retreat Full Bath Ensuite,2790349,Andrea,,Mt. Tabor,45.51161,-122.60383,Private room,57,1,311,2019-12-13,3.43,1,358
573264,"Large 2B Apt, central NW district",2820851,Northwest Portland,,Northwest District,45.52582,-122.68904,Entire home/apt,146,2,68,2019-12-01,0.76,6,349
580155,NE Portland Modern Victorian Duplex,2854451,Julie,,Eliot,45.53972,-122.66251,Entire home/apt,130,2,18,2019-11-22,0.20,1,202
581518,Mississippi Ave Apartment w/Bikes!,2862629,Cee,,Boise,45.54803,-122.6722,Entire home/apt,125,4,269,2019-12-16,2.98,1,357
584676,NW Portland Condo on Street Car Line,2881063,Kevin,,Northwest District,45.52783,-122.69284,Entire home/apt,122,2,63,2019-11-30,0.69,1,155
596389,Garden Oasis Guest House,2948538,Colin And Medina,,Sabin,45.55148,-122.65485,Entire home/apt,65,3,309,2019-11-24,3.41,3,0
598726,"Vintage Charm, Bathed in Natural Sunlight, Hot Tub",2023418,Gary,,King,45.56534,-122.66265,Entire home/apt,399,2,90,2019-12-15,1.15,1,264
600976,2 Bedroom/Private Bath - Charming Central SW,2974150,Shannon,,South Burlingame,45.46514,-122.68619,Private room,76,1,248,2019-12-15,2.74,2,359
604270,Mt. Tabor studio with Mt. Hood view,1493662,Jeff And Katie,,Montavilla,45.51521,-122.58367,Entire home/apt,89,1,567,2019-12-15,6.35,1,103
611417,Victorian home walk to Lloyd & Convention Center,1011157,Jody,,Irvington,45.53644,-122.65005,Private room,59,1,51,2019-12-29,0.92,7,50
611454,"Walk to Pearl, Moda, Lloyd & Convention Center",1011157,Jody,,Irvington,45.53661,-122.65042,Private room,59,1,11,2019-10-22,0.55,7,84
611458,"Walk to Pearl, Moda, Lloyd & Convention Center",1011157,Jody,,Irvington,45.53597,-122.65096,Entire home/apt,69,1,28,2019-12-29,1.28,7,80
611464,"Walk to Pearl, Moda, Lloyd & Convention Centers",1011157,Jody,,Irvington,45.53799,-122.65025,Private room,49,1,8,2019-10-07,0.15,7,84
611469,"Walk to Pearl, Moda, Lloyd & Convention Center",1011157,Jody,,Irvington,45.53645,-122.65045,Private room,49,1,33,2019-10-20,0.99,7,172
626097,Avandel Room @ the Lion and the Rose,16351908,Steven,,Irvington,45.53638,-122.64992,Hotel room,125,1,25,2019-09-01,1.34,8,55
633385,Sweet Room in Charming Central SW Home,2974150,Shannon,,South Burlingame,45.47013,-122.68701,Private room,55,2,209,2019-11-07,2.35,2,334
634279,Overlook Mid Century Garden Home,3159169,Reenie,,Overlook,45.56056,-122.68926,Private room,70,2,206,2019-10-14,2.29,2,364
635432,Spacious SW Portland 1 bd Apartment,3166372,Alexandra,,Bridlemile,45.49028,-122.72214,Entire home/apt,99,2,88,2019-10-07,0.98,1,345
637011,"Eclectic, cheerful, musical home",1810476,Susan,,Multnomah,45.46554,-122.71443,Private room,45,30,16,2017-11-12,0.18,2,222
637362,"Quaint & Cozy, Private Sellwood Guest House",869146,Gina And Andy,,Sellwood-Moreland Improvement League,45.46563,-122.65573,Entire home/apt,78,3,236,2019-12-15,2.80,1,242
646263,Ashley's charmer just off SE Division near cafes,2965830,Ashley,,Richmond,45.50702,-122.63514,Private room,55,1,484,2020-01-01,5.39,2,226
658883,Food Lovers Dream in Designer House,2458289,Emily,,King,45.54964,-122.6631,Private room,88,2,144,2019-08-26,1.61,1,364
674866,Fantastic Loft in the Pearl (short or long term),1731137,Stephanie,,Pearl,45.52614,-122.68224,Entire home/apt,175,30,9,2019-09-22,0.53,2,335
675803,inner SE/ Hawthorne -minimum,3425231,Kit,,Sunnyside,45.51235,-122.62177,Private room,35,7,33,2019-11-14,0.52,2,49
677865,Lovely Art Filled Close-in Bungalow,1972773,Cynthia,,King,45.56516,-122.6577,Private room,58,1,314,2019-11-30,3.56,1,268
687927,"Heart on Hawthorne ,  SE Portland",3425231,Kit,,Sunnyside,45.51333,-122.62176,Private room,40,7,150,2019-10-31,1.70,2,308
692488,Classic Northwest Villa,3541177,Jerry,,Hillside,45.52753,-122.70685,Entire home/apt,93,2,348,2019-12-02,3.93,1,83
696955,Alberta Arts House - Hip Portlandia,3569549,Ash,,Vernon,45.55851,-122.64639,Entire home/apt,200,2,98,2020-01-01,1.11,1,110
699605,Adorable Alberta Arts Bungalow,2605790,Amanda & Sebastien,,King,45.56436,-122.65724,Entire home/apt,150,30,45,2019-10-21,0.52,1,362
699667,Old Portland Style 2 Story House,3589314,Nicole,,Sellwood-Moreland Improvement League,45.46818,-122.65251,Private room,65,2,90,2019-12-02,1.30,1,0
700371,Adorable historic home in Foodie Wonderland,2965830,Ashley,,Richmond,45.50613,-122.63533,Entire home/apt,175,2,57,2019-12-26,0.71,2,335
704753,OHSU. Clean Bonus Room w Shared Bath.,3190134,Jen,,Hillsdale,45.48893,-122.69249,Private room,80,30,10,2018-07-16,0.12,2,364
714773,ArtFulLife,1186353,Fred,,Northwest District,45.52943,-122.69761,Entire home/apt,57,30,123,2019-12-22,1.41,2,242
715685,"North East Alberta Arts Queen Size w/
Memory Foam",2200710,Laurent,,King,45.55871,-122.65823,Private room,50,2,461,2019-12-18,6.97,2,36
717084,Near OHSU! Pristine Bdrm/Private Vanity/Close-In,3190134,Jen,,Hillsdale,45.48694,-122.69223,Private room,78,30,7,2017-08-25,0.09,2,365
720796,SOUTH TABOR COTTAGE,3721183,Lisa,,South Tabor,45.50375,-122.6008,Entire home/apt,65,1,628,2019-12-21,7.13,1,258
748584,Modern House with Japanese Garden,3092836,Morgan,,South Burlingame,45.46622,-122.68864,Private room,50,1,53,2019-12-14,0.66,1,179
758814,"Between ""hip and home"" (and park!)",3493601,Sandi,,Arbor Lodge,45.57286,-122.69398,Private room,75,3,133,2019-12-22,1.53,1,289
760737,Remodeled basement studio in central Portland,2646777,Kyle,,Buckman,45.5203,-122.64255,Entire home/apt,80,1,90,2019-12-18,5.04,1,260
762386,"Urban treehouse in Portland, OR!",416155,Brad & Becca,,Creston-Kenilworth,45.49103,-122.62045,Private room,78,2,778,2019-12-30,8.95,1,323
772835,"Clinton Street Comfy, Urban Oasis 1",4077911,Larry,,Richmond,45.50511,-122.63071,Private room,59,2,205,2019-12-01,2.41,2,365
773172,NW Nob Hill Getaway,1001311,Alleyn,,Northwest District,45.53285,-122.70631,Entire home/apt,165,2,310,2019-12-26,3.57,4,190
774924,Visit Portland w/Pets or Kids; sunny suite in NE!,3622006,Lee Ann,,Grant Park,45.54113,-122.62643,Entire home/apt,135,2,58,2019-12-08,0.67,1,8
775426,Modern & Beautiful House Centrally Located in Vibrant Alberta Arts District,1150082,Michelle,,King,45.55847,-122.6508,Entire home/apt,358,1,152,2019-12-30,1.83,6,284
778346,Downtown NW Condo on Streetcar Line,444503,Olivia,,Northwest District,45.53044,-122.69129,Entire home/apt,63,30,19,2019-08-25,0.23,1,177
784126,"Portland condo near OHSU, VA Hospital & downtown!",4134978,Huma,,Homestead,45.49632,-122.6899,Entire home/apt,75,30,43,2019-11-21,0.81,1,330
784952,Overlook Mid-Century Apartment,3159169,Reenie,,Overlook,45.5625,-122.68794,Entire home/apt,80,2,252,2019-12-28,2.96,2,361
